id;name;address;phone_number;email
1;Bedfordshire indigo radical;GB whiteboard;97100;Fredrick_Hansen@hotmail.com
2;client-server Crossing Analyst;program;44861;Asha_Wunsch@hotmail.com
3;drive Avon USB;Chair sensor;22773;Ida_Brown@hotmail.com
4;multi-tasking Intranet;virtual Shoes;54334;Kian32@hotmail.com
5;distributed;Movies;70684;Milton.Gleason@hotmail.com
6;Executive bypassing Uzbekistan Sum;Iran;93048;Karine_Walter57@yahoo.com
7;olive;budgetary management transmit payment;36552;Isabell_Greenfelder67@gmail.com
8;Advanced;Credit Card Account Total system;71276;Mckenna_Abernathy94@hotmail.com
9;Savings Account;Investment Account;81113;Gisselle_Rau@yahoo.com
10;focus group Web;indexing;26609;Benton97@gmail.com
