id;name;phone_number;email
1;Sleek Buckinghamshire;Buckinghamshire Legacy;Corene21@gmail.com
2;Hong Kong Dollar;Soft back-end Refined Fresh Chicken;Torrance82@yahoo.com
3;systems TCP;Intelligent Frozen Chicken;Alejandra_Hickle@gmail.com
4;GB;Forward Cotton;Aylin.Kessler@yahoo.com
5;Auto Loan Account;Concrete;Hulda.Grady71@gmail.com
6;deposit customer loyalty Pass;Connecticut;Ernie_Kunze@yahoo.com
7;one-to-one District Zloty;withdrawal;Lolita.Sipes@yahoo.com
8;Sleek;Run Cheese AGP;Baby51@hotmail.com
9;e-business Rufiyaa;multi-byte;Brandy.Ullrich@gmail.com
10;Automotive Vista Isle;Table;Dallas_Crooks99@hotmail.com
